Date,Open,High,Low,Close,Adj Close,Volume
7/1/2002,64.51999664,65,63.59999847,63.99599838,16.50937653,813320
7/2/2002,64,65.19999695,63.75,64.01000214,16.51298904,676020
7/3/2002,62.79000092,62.79999924,61.5,61.70600128,26.12023735,139710
7/4/2002,62,63.5,62,62.65999985,26.52406883,129020
7/5/2002,63.40000153,65,63,64.46600342,27.28854942,627880
7/8/2002,62.60599899,64.83000183,62.60599899,64.43000031,27.27330971,182080
7/9/2002,64,64,62.5,62.79600143,26.58164215,50120
7/10/2002,63.49000168,63.69599915,62.20000076,62.44599915,26.43348312,29190
7/11/2002,62.99599838,63,61.90000153,62.10599899,26.2895565,570810
7/12/2002,62.84999847,62.90000153,61.81999969,61.93999863,26.21928978,140070
7/15/2002,62,63,61.13000107,61.77999878,26.15156555,364480
7/16/2002,62.5,62.95999908,61.97999954,62.50999832,26.4605751,82500
7/17/2002,62.01599884,62.40000153,61,61.37599945,25.98054695,144870
7/18/2002,62.90000153,62.90000153,61.09999847,61.52600098,26.04404259,263900
7/19/2002,61.45000076,62.48600006,61.40000153,61.98600006,26.2387619,319660
7/22/2002,62.09999847,62.09999847,61,61.51599884,26.03980827,302830
7/23/2002,62.39599991,62.39599991,61,61.14599991,25.88318443,145920
7/24/2002,61,61.38999939,60.59999847,60.74599838,25.71386528,129510
7/25/2002,60.5,62.34999847,60.5,61.65599823,26.09907341,531470
7/26/2002,62.18999863,62.18999863,60,60.15000153,25.46158218,479250
7/29/2002,60.5,61.99000168,60.5,61.06000137,25.84678268,504900
7/30/2002,61.5,61.84999847,61.01599884,61.58599854,26.06944275,239720
7/31/2002,56,63.70000076,56,63.22999954,26.76534843,741630
8/1/2002,63.99000168,64.65000153,62.20000076,64.04000092,27.10822678,1221080
8/2/2002,58.11000061,63.99000168,58.11000061,62.98600006,26.6620636,424940
8/5/2002,62.20999908,62.65000153,61.50600052,61.72999954,26.13040161,77380
8/6/2002,61.90000153,62.40000153,61.5,61.81999969,26.16849899,112200
8/7/2002,62.29999924,62.29999924,61.25,61.81999969,26.16849899,261500
8/8/2002,61.11600113,61.5,61.11000061,61.38000107,25.98224068,67020
8/9/2002,61.20000076,63.48600006,60.83000183,63.0359993,26.68322754,681750
8/12/2002,63,63.0359993,61.79999924,62.54999924,26.47750092,235930
8/13/2002,63,63.29999924,61.22600174,61.89599991,26.20066643,129230
8/14/2002,61.20000076,62.5,60.5,61.02000046,25.82985306,149790
8/15/2002,61.02000046,61.02000046,61.02000046,61.02000046,25.82985306,0
8/16/2002,61.72000122,62.16600037,61.02999878,61.65599823,26.09907341,237010
8/19/2002,61.31000137,62,60.92599869,61.33599854,25.9636097,155780
8/20/2002,61.87599945,61.87599945,60.09999847,60.41600037,25.5741787,286440
8/21/2002,60.5,61.29999924,59.70999908,60,25.39808655,401140
8/22/2002,60.29999924,60.29999924,59.31999969,59.68999863,25.26686096,394170
8/23/2002,59.5,59.85599899,58.52000046,58.7859993,24.88419533,401980
8/26/2002,58.90000153,58.90000153,55.5,56.30599976,23.83440971,1324210
8/27/2002,56.09999847,58.5,56.09999847,57.05599976,24.15188789,1131810
8/28/2002,56.5,57.79999924,56.20600128,57.49599838,24.33813858,625110
8/29/2002,57.74000168,57.74000168,57.00600052,57.47600174,24.32967186,837850
8/30/2002,57.48600006,59,56.79999924,58.27999878,24.67000771,1820800
9/2/2002,58.70000076,60.09000015,58.70000076,59.60599899,25.23130608,344940
9/3/2002,59.90000153,60,59.22600174,59.66600037,25.25670052,213610
9/4/2002,59.29999924,59.77999878,58.80599976,59.54600143,25.20590591,133520
9/5/2002,59.79999924,59.79999924,54.18600082,57.77999878,24.45835495,179990
9/6/2002,57.75,59.00600052,57.72000122,58.86999893,24.91975594,737230
9/9/2002,57.70000076,59.64599991,57.70000076,59.37599945,25.13394165,679620
9/10/2002,59.37599945,59.37599945,59.37599945,59.37599945,25.13394165,0
9/11/2002,59.99000168,59.99000168,58.15000153,58.48600006,24.75720596,484610
9/12/2002,58.40000153,58.93999863,57.5,57.87599945,24.49899483,367700
9/13/2002,58,58.88999939,58,58.54600143,24.78260612,116370
