Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,230,230.7550049,230,230.7550049,138.5850677,249030
1/4/2000,238.1000061,238.1000061,225,228.1049957,136.993576,585140
1/5/2000,220,225,210.5,219.9900055,132.1199036,802960
1/6/2000,222.4900055,236,221,228.8200073,137.4229584,1900320
1/7/2000,230,245.1999969,228.2250061,241.2949982,144.9151001,1925820
1/10/2000,244.5,249.8999939,241,243.125,146.0141602,865910
1/11/2000,245,252.8999939,239,248.5800018,149.2902527,1344110
1/12/2000,250,268.4700012,249,264.7799988,159.0195313,1770570
1/13/2000,269.8999939,285.9649963,265,278.6650085,167.3584747,2545080
1/14/2000,275,277.7000122,265,270.2099915,162.2806091,1202400
1/17/2000,274.8900146,275,254.5099945,259.8250122,156.0437164,965390
1/18/2000,259.7000122,260.7999878,254.6000061,256.144989,153.8335571,894390
1/19/2000,257.5,260,250.1000061,252.8950043,151.8817749,1186660
1/20/2000,252.5,253.5,251.5,252.4400024,151.6084747,1215590
1/21/2000,254,259.5,253.6600037,254.8099976,153.0318756,750120
1/24/2000,255,264.8999939,254.1000061,257.8500061,154.8575897,711990
1/25/2000,259.769989,259.769989,254.6000061,255.2050018,153.2690582,540930
1/27/2000,262,268,253.8999939,255.9649963,153.7254639,926470
1/28/2000,252.5,256.480011,249,252.375,151.569458,464210
1/31/2000,244.5,249.3999939,240.1000061,244,146.5396576,690790
2/1/2000,241.5,241.5,228.5,232.6699982,139.7351379,1174420
2/2/2000,240,249.8999939,237.5,240.6950073,144.5547333,983250
2/3/2000,242.8000031,245.1000061,235.8999939,243.7899933,146.4135284,583650
2/4/2000,243.9799957,243.9799957,232.5,234.6750031,140.9393311,333800
2/7/2000,234.5,235.5,227.5,230.8950043,138.6691284,367640
2/8/2000,230,233.4499969,230,230.6950073,138.5490417,417900
2/9/2000,244,248,236.5,241.8099976,145.224411,675040
2/10/2000,238.125,244.5,232,233.1100006,139.9994202,878920
2/11/2000,239.5,244.9900055,230.6999969,237.6499939,142.7259827,1568670
2/14/2000,237,241.5,229.6999969,230.0299988,138.1495972,578030
2/15/2000,231,235.9850006,228,230.1999969,138.25177,715130
2/16/2000,240,241,230,231.1049957,138.7952576,907290
2/17/2000,234.6999969,234.6999969,231,232.7050018,139.7561646,620800
2/18/2000,232.7899933,251.3249969,231.5,251.3000031,150.9238129,2380600
2/21/2000,266.3999939,271.4049988,260.1000061,271.4049988,162.9983368,3437360
2/22/2000,292,293.1199951,292,293.1199951,176.0397186,1153490
2/23/2000,316.5700073,316.5700073,276.5,287.5899963,172.7185822,5542040
2/24/2000,299.7999878,310.6000061,292.5,308.6749878,185.3816376,2852320
2/25/2000,311.0100098,323.3999939,305,314.125,188.6547699,2247400
2/28/2000,313,314.5,300,305.5549927,183.5079346,1525020
2/29/2000,310,310,281.4049988,286.4200134,172.0159149,2935240
3/1/2000,284.8999939,306.3999939,267.5050049,299.0700073,179.6131744,2619520
3/2/2000,304,305.2999878,278,281.7799988,169.2292328,1631440
3/3/2000,273.5400085,273.5400085,259.2399902,259.3599854,155.764389,1927460
3/6/2000,250.3999939,267,241.1999969,247.3200073,148.5335388,1511230
3/7/2000,247,259.9849854,238,248.25,149.0921021,1968500
3/8/2000,262.6000061,265,244.1999969,249.2299957,149.6806183,1734020
3/9/2000,250.5,254,230.1000061,240.2100067,154.8240204,1395840
